1,C
2,C
3,B
4,B
5,A
6,B
7,C
8,A
9,C
10,C
11,A
12,C
13,A
14,C
15,A
16,B
17,B
18,C
19,B
20,B
21,B
22,C
23,B
24,C
25,C
26,A
27,A
28,B
29,A
30,A
31,A
32,B
33,A
34,B
35,B
36,A
37,A
38,B
39,C
40,B
41,C
42,A
43,B
44,B
45,B
46,A
47,B
48,B
49,C
50,C
51,C
52,C
53,B
54,A
55,C
56,C
57,C
58,C
59,B
60,A
61,B
62,C
63,A
64,B
65,A
66,B
67,C
68,C
69,B
70,A
71,C
72,B
73,B
74,A
75,A
76,C
77,B
78,B
79,A
80,A
81,B
82,B
83,A
84,B
85,C
86,C
87,B
88,C
89,A
90,A
91,B
92,A
93,C
94,A
95,B
96,A
97,B
98,A
99,A
100,A
101,A
102,B
103,A
104,A
105,A
106,C
107,B
108,B
109,C
110,C
111,B
112,B
113,B
114,C
115,A
116,C
117,A
118,C
119,A
120,C
121,B
122,B
123,C
124,C
125,B
126,C
127,A
128,C
129,A
130,A
131,A
132,B
133,B
134,C
135,C
136,B
137,A
138,B
139,B
140,A
141,B
142,B
143,A
144,B
145,B
146,B
147,B
148,C
149,A
150,B
151,C
152,C
153,B
154,B
155,A
156,B
157,B
158,C
159,A
160,B
161,B
162,A
163,A
164,C
165,C
166,A
167,B
168,B
169,B
170,B
171,A
172,C
173,C
174,A
175,A
176,B
177,A
178,A
179,A
180,B
181,C
182,B
183,C
184,B
185,A
186,A
187,C
188,A
189,C
190,A
191,B
192,B
193,B
194,C
195,B
196,A
197,C
198,C
199,A
200,B
201,B
202,C
203,C
204,C
205,C
206,B
207,B
208,C
209,C
210,C
211,C
212,A
213,C
214,B
215,C
216,B
217,B
218,C
219,A
220,C
221,B
222,A
223,C
224,C
225,C
226,C
227,C
228,A
229,A
230,A
231,C
232,B
233,C
234,C
235,B
236,A
237,A
238,C
239,C
240,A
241,B
242,B
243,C
244,A
245,A
246,C
247,A
248,B
249,B
250,A
251,A
252,A
253,A
254,A
255,B
256,B
257,C
258,A
259,A
260,C
261,C
262,B
263,A
264,A
265,A
266,A
267,B
268,C
269,A
270,A
271,C
272,A
273,A
274,B
275,C
276,B
277,C
278,B
279,A
280,A
281,C
282,A
283,A
284,B
285,B
286,C
287,A
288,A
289,A
290,C
291,C
292,B
293,A
294,A
295,B
296,C
297,A
298,C
299,C
300,A
301,B
302,C
303,B
304,A
305,B
306,C
307,B
308,C
309,B
310,C
311,C
312,A
313,C
314,B
315,A
316,A
317,A
318,B
319,A
320,A
321,B
322,A
323,C
324,A
325,B
326,B
327,B
328,C
329,C
330,C
331,C
332,C
333,A
334,C
335,A
336,A
337,A
338,C
339,B
340,A
341,B
342,A
343,A
344,B
345,C
346,C
347,B
348,C
349,B
350,A
351,C
352,B
353,C
354,A
355,B
356,C
357,B
358,B
359,B
360,A
361,A
362,C
363,C
364,C
365,B
366,B
367,B
368,C
369,A
370,A
371,C
372,C
373,A
374,C
375,A
376,C
377,B
378,C
379,C
380,B
381,B
382,B
383,C
384,A
385,B
386,B
387,B
388,C
389,C
390,C
391,C
392,B
393,A
394,C
395,A
396,C
397,A
398,C
399,B
400,C
401,B
402,C
403,A
404,A
405,A
406,C
407,B
408,C
409,C
410,B
411,B
412,A
413,C
414,C
415,C
416,C
417,A
418,A
419,C
420,C
421,A
422,A
423,A
424,A
425,C
426,B
427,B
428,A
429,C
430,C
431,B
432,B
433,A
434,C
435,B
436,A
437,B
438,B
439,A
440,B
441,A
442,C
443,A
444,B
445,B
446,B
447,C
448,C
449,A
450,C
451,C
452,B
453,C
454,C
455,B
456,B
457,A
458,A
459,B
460,A
461,A
462,B
463,C
464,A
465,A
466,C
467,A
468,B
469,B
470,B
471,C
472,B
473,A
474,B
475,C
476,B
477,B
478,A
479,B
480,B
481,C
482,A
483,C
484,B
485,A
486,C
487,C
488,A
489,A
490,B
491,A
492,C
493,A
494,A
495,A
496,C
497,C
498,C
499,B
500,A
501,C
502,A
503,C
504,C
505,C
506,B
507,C
508,B
509,B
510,C
511,A
512,C
513,C
514,B
515,B
516,A
517,B
518,A
519,A
520,A
521,A
522,C
523,C
524,C
525,C
526,A
527,B
528,B
529,B
530,A
531,B
532,B
533,A
534,C
535,A
536,C
537,C
538,B
539,A
540,A
541,C
542,C
543,A
544,A
545,A
546,C
547,A
548,A
549,B
550,A
551,C
552,A
553,B
554,C
555,A
556,B
557,B
558,A
559,C
560,C
561,A
562,B
563,B
564,C
565,C
566,C
567,C
568,B
569,A
570,C
571,A
572,C
573,B
574,A
575,B
576,A
577,C
578,B
579,C
580,A
581,C
582,A
583,A
584,A
585,A
586,A
587,A
588,B
589,B
590,B
591,A
592,B
593,C
594,B
595,C
596,B
597,C
598,C
599,C
600,A
601,C
602,C
603,A
604,B
605,B
606,B
607,A
608,C
609,B
610,B
611,B
612,A
613,B
614,B
615,B
616,C
617,A
618,A
619,B
620,A
621,A
622,B
623,C
624,B
625,C
626,C
627,C
628,B
629,A
630,C
631,C
632,B
633,C
634,A
635,A
636,C
637,B
638,B
639,C
640,B
641,A
642,A
643,B
644,C
645,C
646,C
647,C
648,B
649,B
650,A
651,A
652,A
653,A
654,B
655,A
656,A
657,A
658,B
659,A
660,A
661,A
662,B
663,A
664,C
665,A
666,B
667,B
668,A
669,B
670,A
671,A
672,B
673,A
674,A
675,A
676,C
677,B
678,B
679,A
680,B
681,C
682,A
683,B
684,B
685,B
686,B
687,A
688,A
689,C
690,C
691,B
692,A
693,B
694,B
695,C
696,B
697,A
698,A
699,C
700,A
701,A
702,A
703,B
704,B
705,B
706,B
707,A
708,C
709,A
710,B
711,B
712,A
713,B
714,C
715,B
716,C
717,C
718,C
719,A
720,B
721,C
722,A
723,C
724,B
725,B
726,A
727,B
728,A
729,B
730,A
731,A
732,C
733,B
734,B
735,B
736,C
737,A
738,A
739,C
740,A
741,B
742,A
743,B
744,A
745,C
746,C
747,A
748,A
749,B
750,A
751,C
752,B
753,C
754,C
755,C
756,A
757,B
758,A
759,C
760,A
761,C
762,A
763,B
764,A
765,C
766,A
767,A
768,C
769,C
770,A
771,C
772,B
773,A
774,B
775,A
776,B
777,B
778,A
779,C
780,A
781,B
782,B
783,B
784,B
785,B
786,A
787,C
788,B
789,A
790,A
791,B
792,B
793,A
794,A
795,A
796,B
797,C
798,C
799,A
800,B
801,A
802,C
803,A
804,C
805,C
806,A
807,C
808,C
809,C
810,B
811,A
812,C
813,C
814,C
815,B
816,B
817,B
818,C
819,A
820,C
821,B
822,B
823,C
824,A
825,C
826,B
827,B
828,B
829,C
830,B
831,C
832,B
833,A
834,B
835,C
836,B
837,A
838,A
839,A
840,C
841,C
842,C
843,C
844,A
845,A
846,B
847,C
848,C
849,C
850,B
851,A
852,C
853,C
854,A
855,B
856,C
857,B
858,B
859,B
860,C
861,A
862,A
863,B
864,B
865,C
866,C
867,A
868,C
869,C
870,A
871,A
872,B
873,A
874,A
875,A
876,C
877,B
878,C
879,A
880,C
881,A
882,B
883,B
884,A
885,C
886,A
887,C
888,A
889,A
890,B
891,A
892,A
893,B
894,C
895,A
896,B
897,A
898,C
899,A
900,C
901,B
902,C
903,A
904,A
905,C
906,C
907,C
908,A
909,C
910,B
911,A
912,A
913,A
914,A
915,B
916,B
917,B
918,A
919,A
920,C
921,B
922,A
923,B
924,B
925,C
926,B
927,C
928,A
929,B
930,B
931,B
932,B
933,B
934,B
935,B
936,A
937,A
938,C
939,C
940,C
941,A
942,C
943,A
944,C
945,B
946,C
947,A
948,C
949,A
950,C
951,C
952,B
953,B
954,A
955,B
956,A
957,A
958,A
959,A
960,C
961,A
962,C
963,B
964,A
965,C
966,A
967,A
968,C
969,A
970,A
971,B
972,A
973,B
974,C
975,C
976,C
977,A
978,C
979,C
980,C
981,C
982,A
983,B
984,C
985,C
986,C
987,A
988,A
989,B
990,B
991,B
992,C
993,C
994,B
995,B
996,B
997,B
